Type,Start,End,Duration,Distance,Average Heart Rate,Max Heart Rate,Average Pace,Average Speed,Active Energy,Total Energy,Elevation Ascended,Weather Temperature,Weather Humidity
Outdoor Running,6/11/2020 15:04,6/11/2020 15:07,0:02:37,0.469634587,118,118,0:05:34,10.75640598,49.145,53.568,,81,56
Outdoor Running,6/11/2020 14:56,6/11/2020 14:58,0:02:33,0.485252113,132.6425948,137.5260264,0:05:16,11.36254951,45.583,49.94,,81,56
Traditional Strength Training,6/10/2020 18:55,6/10/2020 19:48,0:53:09,,89.30021142,128,,,221.574,308.478,,85,66
Outdoor Running,6/10/2020 8:41,6/10/2020 9:08,0:27:15,3.196119967,141.9591195,179,0:08:31,7.03664469,364.868,418.349,200.2952756,77,84
Traditional Strength Training,6/9/2020 18:15,6/9/2020 19:05,0:50:23,,88.04936015,118,,,206.721,294.021,,88,54
Outdoor Running,6/9/2020 8:56,6/9/2020 9:36,0:40:00,5.869804912,173.955711,180,0:06:48,8.802765782,654.906,735.37,270.308399,74,65
Traditional Strength Training,6/8/2020 18:23,6/8/2020 19:23,0:57:49,,93.69500924,144,,,260.028,425.931,,79,39
Outdoor Running,6/8/2020 8:48,6/8/2020 9:10,0:22:18,3.078134295,159.0982143,172,0:07:14,8.280458803,360.496,415.202,253.7729659,68,51
Outdoor Running,6/5/2020 14:25,6/5/2020 15:01,0:36:29,4.81990735,160.5661765,182,0:07:34,7.92480702,544.336,617.339,270.4396325,83,66
Outdoor Running,6/4/2020 9:06,6/4/2020 9:40,0:34:10,4.771162677,170.4591549,179,0:07:09,8.375033255,543.594,618.41,257.644357,78,68
Outdoor Cycling,5/31/2020 11:22,5/31/2020 19:34,6:52:08,57.68702599,102.7864011,149,0:07:08,8.398051057,1556.983,2345.648,1818.963255,67,41
Indoor Running,5/28/2020 14:32,5/28/2020 15:31,0:56:33,3.175583568,133.943804,177,0:17:48,3.36836142,397.125,507.117,,77,88
Outdoor Running,5/26/2020 16:31,5/26/2020 16:58,0:26:09,3.481716096,165.0383275,175,0:07:30,7.984972469,390.538,452.759,,80,55
Traditional Strength Training,5/26/2020 10:38,5/26/2020 11:22,0:44:00,,84.21616162,114,,,182.496,275.397,,73,69
Outdoor Running,5/25/2020 19:24,5/25/2020 19:45,0:20:52,2.492063006,144.8871795,156,0:08:22,7.162227996,280.449,325.744,176.0170604,73,65
Cross Training,5/25/2020 18:13,5/25/2020 19:19,1:06:11,0.803670672,108.1869919,154,1:22:21,0.728461093,352.734,458.501,,75,62
Outdoor Running,5/24/2020 14:52,5/24/2020 16:34,1:40:02,13.09281883,155.4487535,181,0:07:38,7.85235312,1468.534,1651.914,689.4685039,64,77
Outdoor Running,5/23/2020 17:06,5/23/2020 17:33,0:27:26,3.729020622,160.1140684,171,0:07:21,8.154202818,414.169,478.643,187.6312336,80,51
Outdoor Running,5/21/2020 17:31,5/21/2020 18:00,0:29:38,4.536756499,178.5289855,187,0:06:32,9.181398785,511,575.758,232.3490814,69,60
Outdoor Running,5/20/2020 16:28,5/20/2020 16:49,0:20:30,2.666511065,158.7484663,169,0:07:41,7.804239542,302.36,355.792,159.2191601,62,47
Traditional Strength Training,5/20/2020 15:51,5/20/2020 16:21,0:30:01,,107.1890756,139,,,137.755,186.385,,61,49
